id,name,registry_status,registry_source,meta_status,meta_source,implemented,implementation_path,notes
354,AI_SIGMOID,extension_requires_meta_id_range_patch,service_registry_v33.csv,extension_requires_meta_id_range_patch,service_registry_v33.csv,no,,sigmoid scaled
355,AI_RELU,extension_requires_meta_id_range_patch,service_registry_v33.csv,extension_requires_meta_id_range_patch,service_registry_v33.csv,no,,relu
356,AI_SOFTMAX,extension_requires_meta_id_range_patch,service_registry_v33.csv,extension_requires_meta_id_range_patch,service_registry_v33.csv,no,,reserved
360,RAND_SEED,extension_requires_meta_id_range_patch,service_registry_v35.csv,extension_requires_meta_id_range_patch,service_registry_v35.csv,no,,
361,RAND_UNIFORM_01,extension_requires_meta_id_range_patch,service_registry_v35.csv,extension_requires_meta_id_range_patch,service_registry_v35.csv,no,,
362,RAND_INT_RANGE,extension_requires_meta_id_range_patch,service_registry_v35.csv,extension_requires_meta_id_range_patch,service_registry_v35.csv,no,,
363,RAND_NORMAL,extension_requires_meta_id_range_patch,service_registry_v35.csv,extension_requires_meta_id_range_patch,service_registry_v35.csv,no,,
364,RAND_POISSON,extension_requires_meta_id_range_patch,service_registry_v35.csv,extension_requires_meta_id_range_patch,service_registry_v35.csv,no,,
365,RAND_BINOMIAL,extension_requires_meta_id_range_patch,service_registry_v35.csv,extension_requires_meta_id_range_patch,service_registry_v35.csv,no,,
366,RAND_WEIGHTED,extension_requires_meta_id_range_patch,service_registry_v35.csv,extension_requires_meta_id_range_patch,service_registry_v35.csv,no,,
367,RAND_SECURE_BYTE,extension_requires_meta_id_range_patch,service_registry_v35.csv,extension_requires_meta_id_range_patch,service_registry_v35.csv,no,,
368,RAND_BERNOULLI,extension_requires_meta_id_range_patch,service_registry_v35.csv,extension_requires_meta_id_range_patch,service_registry_v35.csv,no,,
369,RAND_SHUFFLE_DATA,extension_requires_meta_id_range_patch,service_registry_v35.csv,extension_requires_meta_id_range_patch,service_registry_v35.csv,no,,
