id,file,line,snippet
348,uxm/core/runtime/services/runtime_real_ext_services_v18.bas,217,"Case 818 ' onehot: aBase value, outBase class count -> one-hot data  # remapped from 818"
348,uxm/core/runtime/services/runtime_string_ext_services.bas,292,Case 348
349,uxm/core/runtime/hooks/runtime_hook_dispatch_ext.bas,16,"Case 340 To 356, 810 To 823"
349,uxm/core/runtime/services/runtime_real_ext_services_v18.bas,222,Case 819 ' deterministic train count = floor(n*option_scaled)  # remapped from 819
350,uxm/core/runtime/hooks/runtime_hook_dispatch_ext.bas,16,"Case 340 To 356, 810 To 823"
350,uxm/core/runtime/services/runtime_real_ext_services_v18.bas,226,Case 820 ' deterministic reverse copy shuffle: data a->out  # remapped from 820
351,uxm/core/runtime/hooks/runtime_hook_dispatch_ext.bas,16,"Case 340 To 356, 810 To 823"
351,uxm/core/runtime/services/runtime_real_ext_services_v18.bas,230,"Case 821 ' 1D nearest neighbor: data a values, data b labels, opt=query -> label  # remapped from 821"
352,uxm/core/runtime/hooks/runtime_hook_dispatch_ext.bas,16,"Case 340 To 356, 810 To 823"
352,uxm/core/runtime/services/runtime_real_ext_services_v18.bas,236,Case 822 ' linear layer y=sum(x*w)+bias(opt)  # remapped from 822
353,uxm/core/runtime/hooks/runtime_hook_dispatch_ext.bas,16,"Case 340 To 356, 810 To 823"
353,uxm/core/runtime/services/runtime_real_ext_services_v18.bas,241,"Case 823 ' softmax: input a, out outBase, n; output scaled int probabilities, returns sum  # remapped from 823"
354,uxm/core/runtime/hooks/runtime_hook_dispatch_ext.bas,16,"Case 340 To 356, 810 To 823"
354,uxm/core/runtime/services/runtime_string_ext_services.bas,294,Case 354
355,uxm/core/runtime/hooks/runtime_hook_dispatch_ext.bas,16,"Case 340 To 356, 810 To 823"
355,uxm/core/runtime/services/runtime_string_ext_services.bas,296,Case 355
356,uxm/core/runtime/hooks/runtime_hook_dispatch_ext.bas,16,"Case 340 To 356, 810 To 823"
356,uxm/core/runtime/services/runtime_string_ext_services.bas,298,Case 356
360,uxm/core/runtime/services/runtime_probability_services.bas,134,Case 380 ' RAND_SEED: T-1 seed  # remapped from 380
361,uxm/core/runtime/services/runtime_probability_services.bas,138,Case 381 ' RAND_UNIFORM_01: T+1 scaled 0..999999  # remapped from 381
362,uxm/core/runtime/services/runtime_probability_services.bas,142,"Case 382 ' RAND_INT_RANGE: T-2 min, T-1 max -> T+1  # remapped from 382"
363,uxm/core/runtime/services/runtime_probability_services.bas,154,Case 383 ' RAND_BERNOULLI: T-1 probability_scaled -> T+1 0/1  # remapped from 383
364,uxm/core/runtime/services/runtime_probability_services.bas,162,Case 384 ' RAND_POISSON: T-1 lambda_scaled -> T+1 count  # remapped from 384
