id,name,registry_status,meta_source,registry_source,implemented_in_runtime,files
356,AI_SOFTMAX,extension_requires_meta_id_range_patch,service_registry_v33.csv,service_registry_v33.csv,yes,uxm/core/runtime/services/runtime_string_ext_services.bas
360,RAND_SEED,extension_requires_meta_id_range_patch,service_registry_v35.csv,service_registry_v35.csv,no,
361,RAND_UNIFORM_01,extension_requires_meta_id_range_patch,service_registry_v35.csv,service_registry_v35.csv,no,
362,RAND_INT_RANGE,extension_requires_meta_id_range_patch,service_registry_v35.csv,service_registry_v35.csv,no,
363,RAND_NORMAL,extension_requires_meta_id_range_patch,service_registry_v35.csv,service_registry_v35.csv,no,
364,RAND_POISSON,extension_requires_meta_id_range_patch,service_registry_v35.csv,service_registry_v35.csv,no,
365,RAND_BINOMIAL,extension_requires_meta_id_range_patch,service_registry_v35.csv,service_registry_v35.csv,no,
366,RAND_WEIGHTED,extension_requires_meta_id_range_patch,service_registry_v35.csv,service_registry_v35.csv,no,
367,RAND_SECURE_BYTE,extension_requires_meta_id_range_patch,service_registry_v35.csv,service_registry_v35.csv,no,
368,RAND_BERNOULLI,extension_requires_meta_id_range_patch,service_registry_v35.csv,service_registry_v35.csv,no,
369,RAND_SHUFFLE_DATA,extension_requires_meta_id_range_patch,service_registry_v35.csv,service_registry_v35.csv,no,
390,NUM_NEWTON_RAPHSON,extension_requires_meta_id_range_patch,service_registry_v35.csv,service_registry_v35.csv,no,
391,NUM_BISECTION,extension_requires_meta_id_range_patch,service_registry_v35.csv,service_registry_v35.csv,no,
392,NUM_SECANT,extension_requires_meta_id_range_patch,service_registry_v35.csv,service_registry_v35.csv,no,
393,NUM_INTEGRAL_TRAPEZOID,extension_requires_meta_id_range_patch,service_registry_v35.csv,service_registry_v35.csv,no,
394,NUM_INTEGRAL_SIMPSON,extension_requires_meta_id_range_patch,service_registry_v35.csv,service_registry_v35.csv,no,
395,NUM_INTERPOLATE_LINEAR,extension_requires_meta_id_range_patch,service_registry_v35.csv,service_registry_v35.csv,no,
396,NUM_BEZIER_QUADRATIC,extension_requires_meta_id_range_patch,service_registry_v35.csv,service_registry_v35.csv,no,
397,NUM_RUNGE_KUTTA4_LINEAR,extension_requires_meta_id_range_patch,service_registry_v35.csv,service_registry_v35.csv,no,
398,NUM_ODE_INFO,extension_requires_meta_id_range_patch,service_registry_v35.csv,service_registry_v35.csv,no,
399,NUM_PDE_RESERVED,extension_requires_meta_id_range_patch,service_registry_v35.csv,service_registry_v35.csv,no,
400,NUM_SPLINE_RESERVED,extension_requires_meta_id_range_patch,service_registry_v35.csv,service_registry_v35.csv,yes,onceki_src/runtime/services/runtime_file_services.bas;onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas;uxm/core/runtime/services/runtime_file_services.bas
401,NUM_ADAPTIVE_INTEGRAL_RESERVED,extension_requires_meta_id_range_patch,service_registry_v35.csv,service_registry_v35.csv,yes,onceki_src/runtime/services/runtime_file_services.bas;onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas;uxm/core/runtime/services/runtime_file_services.bas
402,FILE_OPEN_APPEND_TEXT,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,UXM_FILE_IO_SERVICES.md,yes,onceki_src/runtime/services/runtime_file_services.bas;onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas;uxm/core/runtime/services/runtime_file_services.bas
403,FILE_OPEN_BINARY_READ,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,UXM_FILE_IO_SERVICES.md,yes,onceki_src/runtime/services/runtime_file_services.bas;onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas;uxm/core/runtime/services/runtime_file_services.bas
404,FILE_OPEN_BINARY_WRITE,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,UXM_FILE_IO_SERVICES.md,yes,onceki_src/runtime/services/runtime_file_services.bas;onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas;uxm/core/runtime/services/runtime_file_services.bas
405,FILE_CLOSE,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,UXM_FILE_IO_SERVICES.md,yes,onceki_src/runtime/services/runtime_file_services.bas;onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas;uxm/core/runtime/services/runtime_file_services.bas
406,FILE_READ_BYTE,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,UXM_FILE_IO_SERVICES.md,yes,onceki_src/runtime/services/runtime_file_services.bas;onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas;uxm/core/runtime/services/runtime_file_services.bas
407,FILE_WRITE_BYTE,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,UXM_FILE_IO_SERVICES.md,yes,onceki_src/runtime/services/runtime_file_services.bas;onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas;uxm/core/runtime/services/runtime_file_services.bas
408,FILE_READ_LINE,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,UXM_FILE_IO_SERVICES.md,yes,onceki_src/runtime/services/runtime_file_services.bas;onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas;uxm/core/runtime/services/runtime_file_services.bas
409,FILE_WRITE_LINE,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,UXM_FILE_IO_SERVICES.md,yes,onceki_src/runtime/services/runtime_file_services.bas;onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas;uxm/core/runtime/services/runtime_file_services.bas
410,FILE_READ_BLOCK,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,UXM_FILE_IO_SERVICES.md,yes,uxm/core/runtime/services/runtime_file_services.bas
411,FILE_WRITE_BLOCK,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,UXM_FILE_IO_SERVICES.md,yes,uxm/core/runtime/services/runtime_file_services.bas
412,FILE_SEEK,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,UXM_FILE_IO_SERVICES.md,yes,uxm/core/runtime/services/runtime_file_services.bas
413,FILE_TELL,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,UXM_FILE_IO_SERVICES.md,yes,onceki_src/runtime/services/runtime_file_services.bas;onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas;uxm/core/runtime/services/runtime_file_services.bas
414,FILE_SIZE,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,UXM_FILE_IO_SERVICES.md,yes,onceki_src/runtime/services/runtime_file_services.bas;onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas;uxm/core/runtime/services/runtime_file_services.bas
415,FILE_EXISTS,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,UXM_FILE_IO_SERVICES.md,yes,onceki_src/runtime/services/runtime_file_services.bas;onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas;uxm/core/runtime/services/runtime_file_services.bas
416,FILE_DELETE_RESERVED,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,UXM_FILE_IO_SERVICES.md,yes,uxm/core/runtime/hooks/runtime_hook_dispatch_ext.bas;uxm/core/runtime/services/runtime_real_ext_services_v18.bas
417,FILE_RENAME_RESERVED,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,UXM_FILE_IO_SERVICES.md,yes,uxm/core/runtime/services/runtime_real_ext_services_v18.bas
418,FILE_MKDIR_RESERVED,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,UXM_FILE_IO_SERVICES.md,yes,uxm/core/runtime/services/runtime_real_ext_services_v18.bas
419,FILE_STATUS,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,UXM_FILE_IO_SERVICES.md,yes,uxm/core/runtime/services/runtime_real_ext_services_v18.bas
450,CPLX_PRINT_RESERVED,extension_requires_meta_id_range_patch,service_registry_v35.csv,service_registry_v35.csv,no,
